iter	Passed	Remaining
0	1	144
1	2	135
2	4	131
3	4	119
4	6	119
5	7	112
6	8	108
7	9	105
8	10	105
9	11	104
10	12	102
11	14	102
12	15	100
13	16	100
14	17	99
15	18	99
16	20	98
17	21	97
18	22	95
19	23	94
20	24	93
21	26	92
22	27	91
23	28	90
24	29	88
25	30	87
26	31	85
27	32	83
28	33	81
29	34	79
30	35	78
31	36	78
32	37	77
33	38	75
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	71	40
64	72	39
65	73	38
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	87	23
79	88	22
80	89	20
81	90	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	107	0
